Poster_Link,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
,Beautiful Journey 14,1996,A,87 min,"Adventure, Drama",7.1,"A story about beautiful journey 14, filled with memorable characters, challenges, and unexpected events.",60,Director 15,Actor 124,Actor 450,Actor 291,Actor 485,1532451,"893,094,062"
,Hidden Kingdom 15,2013,R,93 min,"War, Drama",7.6,"A story about hidden kingdom 15, filled with memorable characters, challenges, and unexpected events.",75,Director 243,Actor 282,Actor 85,Actor 136,Actor 271,537477,"137,959,287"
,Great Hope 16,1947,R,181 min,"Comedy, Drama",9.1,"A story about great hope 16, filled with memorable characters, challenges, and unexpected events.",86,Director 96,Actor 225,Actor 461,Actor 265,Actor 232,1317432,"428,514,718"
,Silent Mountain 17,1948,UA,87 min,"War, Drama",6.2,"A story about silent mountain 17, filled with memorable characters, challenges, and unexpected events.",45,Director 19,Actor 363,Actor 324,Actor 31,Actor 118,975171,"631,932,764"
,Hidden Promise 18,1962,PG-13,115 min,"Crime, Drama",6.2,"A story about hidden promise 18, filled with memorable characters, challenges, and unexpected events.",53,Director 186,Actor 479,Actor 452,Actor 293,Actor 296,2045975,"230,135,022"
,Crimson Mountain 19,2020,R,137 min,"Comedy, Drama",7.6,"A story about crimson mountain 19, filled with memorable characters, challenges, and unexpected events.",72,Director 91,Actor 217,Actor 211,Actor 240,Actor 443,405631,"104,178,666"
,A New Dream 20,1927,UA,128 min,"Adventure, Drama",7.3,"A story about a new dream 20, filled with memorable characters, challenges, and unexpected events.",79,Director 115,Actor 72,Actor 217,Actor 94,Actor 143,1052940,"205,818,272"
,Infinite Mountain 21,1929,R,195 min,"War, Drama",7.5,"A story about infinite mountain 21, filled with memorable characters, challenges, and unexpected events.",79,Director 215,Actor 8,Actor 497,Actor 48,Actor 475,420658,"54,418,806"
,Beyond Legacy 22,1972,PG,112 min,"Mystery, Thriller",7.6,"A story about beyond legacy 22, filled with memorable characters, challenges, and unexpected events.",45,Director 100,Actor 136,Actor 475,Actor 402,Actor 402,255934,"176,877,762"
,Infinite Story 23,1974,UA,178 min,"War, Drama",8.3,"A story about infinite story 23, filled with memorable characters, challenges, and unexpected events.",63,Director 56,Actor 496,Actor 30,Actor 297,Actor 377,2051247,"166,311,829"
,American Promise 24,2015,UA,91 min,"Thriller, Mystery",7.0,"A story about american promise 24, filled with memorable characters, challenges, and unexpected events.",48,Director 246,Actor 261,Actor 42,Actor 436,Actor 96,2119107,"570,392,350"
,Hidden War 25,1928,UA,115 min,"Mystery, Thriller",8.2,"A story about hidden war 25, filled with memorable characters, challenges, and unexpected events.",82,Director 153,Actor 21,Actor 318,Actor 42,Actor 215,512840,"611,784,318"
,Little Heart 26,1986,A,118 min,"Comedy, Drama",7.0,"A story about little heart 26, filled with memorable characters, challenges, and unexpected events.",70,Director 34,Actor 344,Actor 331,Actor 154,Actor 235,1327782,"256,387,095"
,Falling Kingdom 27,1921,UA,157 min,"Adventure, Drama",7.5,"A story about falling kingdom 27, filled with memorable characters, challenges, and unexpected events.",77,Director 68,Actor 68,Actor 478,Actor 179,Actor 452,317277,"577,380,546"
,Hidden Mountain 28,1967,R,141 min,"War, Drama",6.9,"A story about hidden mountain 28, filled with memorable characters, challenges, and unexpected events.",78,Director 3,Actor 342,Actor 419,Actor 284,Actor 154,1278848,"656,883,995"
,Silent Shadow 29,1953,A,98 min,"War, Drama",6.4,"A story about silent shadow 29, filled with memorable characters, challenges, and unexpected events.",83,Director 54,Actor 368,Actor 176,Actor 105,Actor 352,661995,"292,531,670"
,Midnight Destiny 30,1982,PG,201 min,"Action, Crime, Drama",6.8,"A story about midnight destiny 30, filled with memorable characters, challenges, and unexpected events.",98,Director 71,Actor 23,Actor 2,Actor 171,Actor 395,397127,"681,157,736"
,Dark Empire 31,1940,U,155 min,"Romance, Drama",8.4,"A story about dark empire 31, filled with memorable characters, challenges, and unexpected events.",49,Director 242,Actor 453,Actor 354,Actor 463,Actor 77,2362613,"10,482,761"
,American Promise 32,1967,A,103 min,"Romance, Drama",7.9,"A story about american promise 32, filled with memorable characters, challenges, and unexpected events.",68,Director 231,Actor 478,Actor 408,Actor 498,Actor 441,544545,"45,013,399"
,A New Memory 33,1946,PG-13,170 min,"Adventure, Drama",8.3,"A story about a new memory 33, filled with memorable characters, challenges, and unexpected events.",100,Director 105,Actor 499,Actor 318,Actor 384,Actor 80,1493435,"837,743,439"
,Beyond Legacy 34,1942,PG,88 min,"Biography, Drama",8.9,"A story about beyond legacy 34, filled with memorable characters, challenges, and unexpected events.",96,Director 172,Actor 443,Actor 377,Actor 416,Actor 128,1403286,"840,181,098"
,Midnight Legacy 35,2020,UA,133 min,"Action, Crime, Drama",8.3,"A story about midnight legacy 35, filled with memorable characters, challenges, and unexpected events.",97,Director 236,Actor 236,Actor 180,Actor 157,Actor 421,1984217,"238,936,384"
,Beyond Mountain 36,1923,A,136 min,"Drama, Romance",8.2,"A story about beyond mountain 36, filled with memorable characters, challenges, and unexpected events.",67,Director 165,Actor 261,Actor 205,Actor 348,Actor 432,1178545,"74,639,964"
,American Future 37,1923,A,209 min,"Crime, Drama",6.4,"A story about american future 37, filled with memorable characters, challenges, and unexpected events.",47,Director 28,Actor 306,Actor 223,Actor 177,Actor 374,758967,"623,503,479"
,Falling Hope 38,1997,A,99 min,"Mystery, Thriller",9.2,"A story about falling hope 38, filled with memorable characters, challenges, and unexpected events.",47,Director 182,Actor 224,Actor 1,Actor 267,Actor 474,2428385,"204,195,531"
,American River 39,1966,U,206 min,"Drama, Romance",7.4,"A story about american river 39, filled with memorable characters, challenges, and unexpected events.",91,Director 231,Actor 154,Actor 260,Actor 159,Actor 342,1326657,"712,406,873"
,Forgotten Future 40,1971,R,155 min,"Animation, Adventure, Family",8.3,"A story about forgotten future 40, filled with memorable characters, challenges, and unexpected events.",69,Director 174,Actor 384,Actor 463,Actor 90,Actor 316,814635,"451,550,815"
,Little Story 41,1971,PG,85 min,Drama,7.8,"A story about little story 41, filled with memorable characters, challenges, and unexpected events.",95,Director 149,Actor 311,Actor 336,Actor 165,Actor 239,1213403,"225,781,936"
,Infinite Adventure 42,2006,PG-13,145 min,"Biography, Drama",6.7,"A story about infinite adventure 42, filled with memorable characters, challenges, and unexpected events.",87,Director 163,Actor 318,Actor 172,Actor 48,Actor 420,365658,"304,813,332"
,Beyond Story 43,1948,PG,103 min,"Action, Adventure",8.7,"A story about beyond story 43, filled with memorable characters, challenges, and unexpected events.",84,Director 218,Actor 394,Actor 38,Actor 234,Actor 213,203834,"262,997,676"
,Little River 44,2011,R,148 min,"Mystery, Thriller",8.3,"A story about little river 44, filled with memorable characters, challenges, and unexpected events.",89,Director 2,Actor 458,Actor 385,Actor 441,Actor 395,1033344,"158,553,521"
,Silent Hope 45,1948,PG-13,207 min,"Fantasy, Adventure",6.6,"A story about silent hope 45, filled with memorable characters, challenges, and unexpected events.",60,Director 235,Actor 435,Actor 63,Actor 234,Actor 69,1958463,"54,021,577"
,Infinite Destiny 46,1991,PG-13,206 min,"Sci-Fi, Adventure",8.0,"A story about infinite destiny 46, filled with memorable characters, challenges, and unexpected events.",73,Director 230,Actor 82,Actor 381,Actor 442,Actor 244,2127193,"458,309,399"
,Infinite Empire 47,2016,R,166 min,"Crime, Drama",6.8,"A story about infinite empire 47, filled with memorable characters, challenges, and unexpected events.",60,Director 71,Actor 226,Actor 40,Actor 366,Actor 147,2196489,"520,432,086"
,Beyond Empire 48,1962,UA,154 min,"Action, Sci-Fi",7.1,"A story about beyond empire 48, filled with memorable characters, challenges, and unexpected events.",69,Director 178,Actor 79,Actor 362,Actor 110,Actor 33,590382,"162,053,189"
,Forgotten Hope 49,1962,PG,138 min,"Action, Crime, Drama",7.8,"A story about forgotten hope 49, filled with memorable characters, challenges, and unexpected events.",69,Director 232,Actor 395,Actor 300,Actor 485,Actor 357,877526,"894,410,083"
,The Last Heart 50,1968,PG,205 min,"Horror, Mystery",7.6,"A story about the last heart 50, filled with memorable characters, challenges, and unexpected events.",99,Director 229,Actor 489,Actor 428,Actor 215,Actor 276,1262472,"809,137,759"
,American War 51,1948,PG,119 min,"Romance, Drama",7.6,"A story about american war 51, filled with memorable characters, challenges, and unexpected events.",66,Director 172,Actor 348,Actor 409,Actor 208,Actor 371,2046930,"31,265,166"
,Golden Adventure 52,1936,PG-13,153 min,"Action, Adventure",9.2,"A story about golden adventure 52, filled with memorable characters, challenges, and unexpected events.",87,Director 7,Actor 43,Actor 330,Actor 220,Actor 70,1662640,"635,640,030"
,Infinite Legacy 53,1926,A,126 min,"Comedy, Drama",6.9,"A story about infinite legacy 53, filled with memorable characters, challenges, and unexpected events.",93,Director 226,Actor 195,Actor 143,Actor 386,Actor 488,1917147,"351,048,014"
,Forgotten Empire 54,1930,UA,180 min,"War, Drama",7.6,"A story about forgotten empire 54, filled with memorable characters, challenges, and unexpected events.",86,Director 18,Actor 400,Actor 491,Actor 334,Actor 21,228462,"375,867,056"
,The Last Mountain 55,1945,PG,164 min,"Animation, Adventure, Family",8.8,"A story about the last mountain 55, filled with memorable characters, challenges, and unexpected events.",87,Director 30,Actor 289,Actor 486,Actor 112,Actor 239,1010530,"135,628,741"
,Midnight Memory 56,1941,U,208 min,"Adventure, Drama",8.0,"A story about midnight memory 56, filled with memorable characters, challenges, and unexpected events.",82,Director 7,Actor 476,Actor 160,Actor 295,Actor 347,696883,"334,075,497"
,Secret Victory 57,2011,A,160 min,"Comedy, Romance",6.7,"A story about secret victory 57, filled with memorable characters, challenges, and unexpected events.",99,Director 176,Actor 308,Actor 413,Actor 62,Actor 408,437405,"748,705,284"
,Little Promise 58,1964,R,169 min,"Horror, Mystery",7.8,"A story about little promise 58, filled with memorable characters, challenges, and unexpected events.",66,Director 4,Actor 435,Actor 216,Actor 422,Actor 251,299225,"543,371,261"
,Silent Hope 59,1966,UA,191 min,"Sci-Fi, Adventure",8.1,"A story about silent hope 59, filled with memorable characters, challenges, and unexpected events.",91,Director 134,Actor 495,Actor 334,Actor 139,Actor 316,651691,"467,700,762"
,American Truth 60,1979,U,178 min,"Crime, Drama",7.4,"A story about american truth 60, filled with memorable characters, challenges, and unexpected events.",62,Director 226,Actor 231,Actor 125,Actor 385,Actor 238,1361843,"263,698,427"
,Little War 61,2005,PG,88 min,"Thriller, Mystery",7.3,"A story about little war 61, filled with memorable characters, challenges, and unexpected events.",58,Director 91,Actor 409,Actor 133,Actor 175,Actor 144,1373208,"195,349,057"
,Great Empire 62,1991,R,206 min,"Comedy, Drama",6.0,"A story about great empire 62, filled with memorable characters, challenges, and unexpected events.",71,Director 126,Actor 285,Actor 389,Actor 124,Actor 354,369086,"259,254,084"
,Crimson Truth 63,1977,R,96 min,Drama,8.6,"A story about crimson truth 63, filled with memorable characters, challenges, and unexpected events.",60,Director 79,Actor 340,Actor 298,Actor 189,Actor 243,939442,"434,322,401"
,American Destiny 64,1964,R,180 min,"War, Drama",7.4,"A story about american destiny 64, filled with memorable characters, challenges, and unexpected events.",74,Director 70,Actor 157,Actor 129,Actor 119,Actor 62,1397439,"377,853,674"
,Lost Future 65,1935,R,206 min,"Biography, Drama",8.5,"A story about lost future 65, filled with memorable characters, challenges, and unexpected events.",75,Director 71,Actor 371,Actor 302,Actor 390,Actor 269,813381,"232,441,238"
,Great Story 66,1932,A,122 min,"Comedy, Romance",8.7,"A story about great story 66, filled with memorable characters, challenges, and unexpected events.",45,Director 182,Actor 274,Actor 65,Actor 141,Actor 24,1523644,"192,773,892"
,A New World 67,1957,PG-13,101 min,"Thriller, Mystery",8.3,"A story about a new world 67, filled with memorable characters, challenges, and unexpected events.",63,Director 121,Actor 246,Actor 226,Actor 175,Actor 95,440283,"13,269,872"
,A New Empire 68,1981,PG-13,93 min,"Mystery, Thriller",6.4,"A story about a new empire 68, filled with memorable characters, challenges, and unexpected events.",85,Director 176,Actor 28,Actor 78,Actor 77,Actor 416,2072534,"79,645,125"
,Little Story 69,1930,PG-13,100 min,"War, Drama",9.3,"A story about little story 69, filled with memorable characters, challenges, and unexpected events.",95,Director 159,Actor 116,Actor 398,Actor 268,Actor 195,1755560,"651,128,618"
,Infinite Adventure 70,1958,U,139 min,Drama,8.8,"A story about infinite adventure 70, filled with memorable characters, challenges, and unexpected events.",84,Director 246,Actor 379,Actor 51,Actor 486,Actor 391,2395004,"666,923,010"
,Lost River 71,1953,U,105 min,"Comedy, Romance",8.2,"A story about lost river 71, filled with memorable characters, challenges, and unexpected events.",55,Director 1,Actor 210,Actor 231,Actor 353,Actor 305,739026,"592,797,161"
,Crimson Story 72,1924,R,175 min,Drama,6.8,"A story about crimson story 72, filled with memorable characters, challenges, and unexpected events.",59,Director 237,Actor 136,Actor 404,Actor 406,Actor 321,1914345,"76,528,684"
,Little River 73,1974,UA,113 min,"Animation, Adventure, Family",6.4,"A story about little river 73, filled with memorable characters, challenges, and unexpected events.",49,Director 16,Actor 85,Actor 406,Actor 158,Actor 305,1124143,"887,688,450"
,Little Story 74,1976,PG-13,173 min,Drama,6.4,"A story about little story 74, filled with memorable characters, challenges, and unexpected events.",79,Director 127,Actor 225,Actor 42,Actor 307,Actor 21,1698243,"292,422,121"
,Forgotten Future 75,1997,U,96 min,"Comedy, Romance",6.8,"A story about forgotten future 75, filled with memorable characters, challenges, and unexpected events.",93,Director 173,Actor 421,Actor 138,Actor 296,Actor 21,2422559,"630,518,447"
,Golden Truth 76,1986,PG,202 min,"Crime, Drama",8.1,"A story about golden truth 76, filled with memorable characters, challenges, and unexpected events.",85,Director 209,Actor 252,Actor 497,Actor 47,Actor 241,771220,"628,592,896"
,Rising Hope 77,1962,R,98 min,"Biography, Drama",7.1,"A story about rising hope 77, filled with memorable characters, challenges, and unexpected events.",76,Director 74,Actor 340,Actor 484,Actor 206,Actor 417,1393296,"442,100,551"
,American Promise 78,1978,PG,117 min,"Drama, Romance",6.3,"A story about american promise 78, filled with memorable characters, challenges, and unexpected events.",100,Director 132,Actor 423,Actor 1,Actor 337,Actor 446,496210,"829,617,022"
,American Adventure 79,1972,PG,151 min,"Horror, Mystery",6.2,"A story about american adventure 79, filled with memorable characters, challenges, and unexpected events.",93,Director 14,Actor 105,Actor 137,Actor 282,Actor 68,2100831,"671,627,524"
,Broken Adventure 80,2009,PG-13,88 min,"Comedy, Romance",7.6,"A story about broken adventure 80, filled with memorable characters, challenges, and unexpected events.",45,Director 142,Actor 209,Actor 48,Actor 116,Actor 431,674286,"333,765,422"
,Silent Adventure 81,1935,R,104 min,"Thriller, Mystery",8.1,"A story about silent adventure 81, filled with memorable characters, challenges, and unexpected events.",62,Director 107,Actor 428,Actor 248,Actor 242,Actor 125,1234156,"546,497,165"
,Infinite World 82,1938,A,202 min,"Fantasy, Adventure",7.3,"A story about infinite world 82, filled with memorable characters, challenges, and unexpected events.",94,Director 203,Actor 438,Actor 213,Actor 175,Actor 479,582557,"75,058,005"
,Beautiful Empire 83,1920,PG-13,123 min,"Thriller, Mystery",6.9,"A story about beautiful empire 83, filled with memorable characters, challenges, and unexpected events.",75,Director 89,Actor 171,Actor 283,Actor 391,Actor 279,633254,"479,576,614"
,Secret Adventure 84,1961,UA,210 min,"Comedy, Romance",8.9,"A story about secret adventure 84, filled with memorable characters, challenges, and unexpected events.",99,Director 199,Actor 211,Actor 23,Actor 163,Actor 382,2408293,"411,311,819"
,Crimson Victory 85,1969,UA,186 min,"Animation, Adventure, Family",9.3,"A story about crimson victory 85, filled with memorable characters, challenges, and unexpected events.",77,Director 248,Actor 303,Actor 170,Actor 446,Actor 52,2087558,"39,849,508"
,Infinite Dream 86,1987,UA,86 min,"Animation, Adventure, Family",9.0,"A story about infinite dream 86, filled with memorable characters, challenges, and unexpected events.",49,Director 121,Actor 401,Actor 497,Actor 136,Actor 174,1729574,"703,166,091"
,Great Victory 87,2003,R,127 min,"War, Drama",6.3,"A story about great victory 87, filled with memorable characters, challenges, and unexpected events.",90,Director 228,Actor 389,Actor 250,Actor 447,Actor 278,1603874,"340,112,324"
,A New War 88,1928,U,172 min,Drama,6.8,"A story about a new war 88, filled with memorable characters, challenges, and unexpected events.",72,Director 26,Actor 390,Actor 325,Actor 361,Actor 447,964146,"801,934,280"
,Silent Adventure 89,1941,U,200 min,"Action, Adventure",8.3,"A story about silent adventure 89, filled with memorable characters, challenges, and unexpected events.",63,Director 92,Actor 192,Actor 221,Actor 75,Actor 126,202900,"348,394,647"
,Beautiful Hope 90,1992,PG-13,108 min,"Biography, Drama",8.2,"A story about beautiful hope 90, filled with memorable characters, challenges, and unexpected events.",100,Director 98,Actor 318,Actor 350,Actor 124,Actor 255,744294,"84,891,618"
,Little Shadow 91,1949,U,117 min,"Sci-Fi, Adventure",7.5,"A story about little shadow 91, filled with memorable characters, challenges, and unexpected events.",96,Director 120,Actor 462,Actor 148,Actor 347,Actor 280,1080917,"716,114,770"
,Golden Kingdom 92,1976,A,160 min,Drama,9.1,"A story about golden kingdom 92, filled with memorable characters, challenges, and unexpected events.",74,Director 217,Actor 155,Actor 102,Actor 197,Actor 437,1789680,"741,318,491"
,Crimson Dream 93,1950,R,130 min,Drama,7.3,"A story about crimson dream 93, filled with memorable characters, challenges, and unexpected events.",70,Director 71,Actor 5,Actor 290,Actor 443,Actor 352,1248287,"23,657,463"
,A New War 94,2015,A,200 min,Drama,7.6,"A story about a new war 94, filled with memorable characters, challenges, and unexpected events.",59,Director 163,Actor 98,Actor 318,Actor 129,Actor 348,975186,"651,931,074"
,Dark Dream 95,2000,A,124 min,"Sci-Fi, Adventure",8.1,"A story about dark dream 95, filled with memorable characters, challenges, and unexpected events.",91,Director 34,Actor 47,Actor 466,Actor 152,Actor 168,149940,"622,412,633"
,Forgotten Legacy 96,1945,A,154 min,"Horror, Mystery",6.4,"A story about forgotten legacy 96, filled with memorable characters, challenges, and unexpected events.",98,Director 43,Actor 132,Actor 468,Actor 423,Actor 484,2236556,"538,898,023"
,Crimson Story 97,2015,UA,187 min,"Adventure, Drama",8.9,"A story about crimson story 97, filled with memorable characters, challenges, and unexpected events.",93,Director 248,Actor 116,Actor 441,Actor 347,Actor 371,1974324,"80,952,074"
,Secret World 98,1966,U,135 min,"Action, Adventure",6.3,"A story about secret world 98, filled with memorable characters, challenges, and unexpected events.",74,Director 95,Actor 345,Actor 384,Actor 345,Actor 135,1119219,"576,240,134"
,Little Victory 99,2001,PG-13,98 min,"Comedy, Romance",9.1,"A story about little victory 99, filled with memorable characters, challenges, and unexpected events.",80,Director 84,Actor 469,Actor 313,Actor 114,Actor 332,1987517,"26,970,011"
,Hidden Adventure 100,2009,U,137 min,"Adventure, Drama",7.0,"A story about hidden adventure 100, filled with memorable characters, challenges, and unexpected events.",64,Director 127,Actor 60,Actor 50,Actor 121,Actor 455,596267,"48,790,765"
,American Shadow 101,1969,R,170 min,"War, Drama",7.5,"A story about american shadow 101, filled with memorable characters, challenges, and unexpected events.",91,Director 40,Actor 454,Actor 213,Actor 336,Actor 51,1767945,"630,751,895"
,Crimson War 102,1972,PG,120 min,"Action, Crime, Drama",9.1,"A story about crimson war 102, filled with memorable characters, challenges, and unexpected events.",73,Director 244,Actor 121,Actor 438,Actor 186,Actor 51,1564115,"233,391,547"
,Rising World 103,2002,PG,135 min,"Crime, Drama",7.2,"A story about rising world 103, filled with memorable characters, challenges, and unexpected events.",50,Director 170,Actor 109,Actor 329,Actor 328,Actor 306,806114,"131,267,999"
,The Last Promise 104,2020,PG-13,101 min,"Comedy, Drama",7.1,"A story about the last promise 104, filled with memorable characters, challenges, and unexpected events.",58,Director 151,Actor 111,Actor 417,Actor 446,Actor 120,297771,"891,110,113"
,Falling Shadow 105,2020,PG-13,85 min,"Crime, Drama",9.0,"A story about falling shadow 105, filled with memorable characters, challenges, and unexpected events.",61,Director 205,Actor 90,Actor 57,Actor 339,Actor 444,616865,"139,677,989"
,The Last Shadow 106,1921,U,185 min,"Comedy, Romance",7.2,"A story about the last shadow 106, filled with memorable characters, challenges, and unexpected events.",56,Director 68,Actor 27,Actor 65,Actor 380,Actor 216,2479828,"347,746,966"
,Beautiful Dream 107,2015,U,142 min,"Horror, Mystery",6.2,"A story about beautiful dream 107, filled with memorable characters, challenges, and unexpected events.",73,Director 129,Actor 114,Actor 485,Actor 315,Actor 23,2162676,"637,544,033"
,Beautiful Story 108,1978,PG,88 min,"Action, Crime, Drama",8.1,"A story about beautiful story 108, filled with memorable characters, challenges, and unexpected events.",88,Director 28,Actor 252,Actor 365,Actor 466,Actor 228,2018995,"431,333,244"
,Hidden Kingdom 109,1961,R,93 min,"Animation, Adventure, Family",8.0,"A story about hidden kingdom 109, filled with memorable characters, challenges, and unexpected events.",82,Director 141,Actor 365,Actor 167,Actor 196,Actor 306,1163500,"670,455,806"
,Beautiful Story 110,1978,R,140 min,"Adventure, Drama",7.7,"A story about beautiful story 110, filled with memorable characters, challenges, and unexpected events.",94,Director 142,Actor 370,Actor 444,Actor 111,Actor 221,489887,"703,092,685"
,Infinite Mountain 111,1972,U,143 min,"Mystery, Thriller",7.1,"A story about infinite mountain 111, filled with memorable characters, challenges, and unexpected events.",65,Director 110,Actor 161,Actor 341,Actor 131,Actor 192,1754787,"783,515,470"
,Dark Truth 112,1928,R,95 min,"Action, Sci-Fi",6.3,"A story about dark truth 112, filled with memorable characters, challenges, and unexpected events.",92,Director 96,Actor 416,Actor 67,Actor 285,Actor 31,1821421,"103,785,265"
,Little World 113,1991,PG,100 min,"Romance, Drama",7.1,"A story about little world 113, filled with memorable characters, challenges, and unexpected events.",100,Director 235,Actor 370,Actor 27,Actor 496,Actor 148,1493097,"714,503,943"
,Great Story 114,1965,PG,149 min,"Comedy, Drama",6.3,"A story about great story 114, filled with memorable characters, challenges, and unexpected events.",59,Director 217,Actor 56,Actor 180,Actor 433,Actor 285,658985,"705,265,232"
,Rising Dream 115,2017,PG-13,113 min,"Romance, Drama",6.9,"A story about rising dream 115, filled with memorable characters, challenges, and unexpected events.",84,Director 173,Actor 330,Actor 286,Actor 14,Actor 312,2362860,"824,124,405"
,Midnight Journey 116,1943,U,182 min,Drama,6.9,"A story about midnight journey 116, filled with memorable characters, challenges, and unexpected events.",56,Director 223,Actor 74,Actor 290,Actor 337,Actor 206,1435327,"377,008,532"
,Hidden Shadow 117,2014,PG,88 min,"Action, Sci-Fi",8.1,"A story about hidden shadow 117, filled with memorable characters, challenges, and unexpected events.",71,Director 117,Actor 175,Actor 81,Actor 190,Actor 160,2235005,"231,097,172"
,Falling Heart 118,1996,PG-13,91 min,"Animation, Adventure, Family",6.3,"A story about falling heart 118, filled with memorable characters, challenges, and unexpected events.",48,Director 173,Actor 42,Actor 140,Actor 227,Actor 339,670224,"810,169,356"
,Forgotten Truth 119,1997,A,119 min,"Comedy, Drama",7.5,"A story about forgotten truth 119, filled with memorable characters, challenges, and unexpected events.",72,Director 29,Actor 146,Actor 348,Actor 348,Actor 304,2158936,"122,310,617"
,Crimson Destiny 120,2005,UA,113 min,"Mystery, Thriller",7.0,"A story about crimson destiny 120, filled with memorable characters, challenges, and unexpected events.",64,Director 243,Actor 109,Actor 393,Actor 71,Actor 392,239772,"8,353,947"
,Midnight Story 121,1961,PG,148 min,"Romance, Drama",6.4,"A story about midnight story 121, filled with memorable characters, challenges, and unexpected events.",79,Director 181,Actor 118,Actor 257,Actor 287,Actor 427,746917,"138,812,095"
,Rising Kingdom 122,1970,U,90 min,"Romance, Drama",8.8,"A story about rising kingdom 122, filled with memorable characters, challenges, and unexpected events.",100,Director 81,Actor 295,Actor 220,Actor 294,Actor 208,88607,"493,757,365"
,Forgotten Story 123,1934,PG-13,208 min,"Drama, Romance",7.3,"A story about forgotten story 123, filled with memorable characters, challenges, and unexpected events.",74,Director 213,Actor 354,Actor 471,Actor 186,Actor 46,730888,"860,513,104"
,Forgotten Dream 124,1951,A,136 min,"Fantasy, Adventure",7.4,"A story about forgotten dream 124, filled with memorable characters, challenges, and unexpected events.",92,Director 87,Actor 114,Actor 171,Actor 399,Actor 87,339869,"425,051,250"
,Hidden Destiny 125,2001,R,150 min,"Comedy, Drama",6.4,"A story about hidden destiny 125, filled with memorable characters, challenges, and unexpected events.",97,Director 166,Actor 418,Actor 76,Actor 121,Actor 53,1475386,"377,090,466"
,Dark Empire 126,1945,R,104 min,"Action, Sci-Fi",6.6,"A story about dark empire 126, filled with memorable characters, challenges, and unexpected events.",76,Director 119,Actor 387,Actor 289,Actor 390,Actor 297,753004,"829,939,316"
,Infinite Heart 127,2002,PG,164 min,"Drama, Romance",8.1,"A story about infinite heart 127, filled with memorable characters, challenges, and unexpected events.",49,Director 121,Actor 227,Actor 324,Actor 156,Actor 408,1335982,"162,189,272"
